method,gamma,seed,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
eucl_raw_nodiv,0.01,45.0,0.1,2.384185791015625e-06,0.48690223693847656,0.4869046211242676,0.0,0.4,0.0,0.0
sta,0.01,42.0,0.6070429737484974,1.9073486328125e-06,4971.7465987205505,4971.746600627899,0.8648648648648649,0.35294117647058826,0.625,0.5853658536585366
sta,0.01,43.0,0.6569923978460563,2.384185791015625e-06,4973.087118148804,4973.0871205329895,0.8292682926829268,0.5454545454545454,0.6818181818181818,0.5714285714285714
sta,0.01,44.0,0.5430935895036699,2.384185791015625e-06,4968.3780789375305,4968.378081321716,0.782608695652174,0.23529411764705882,0.6666666666666666,0.4878048780487805
sta,0.01,45.0,0.5587719298245614,2.1457672119140625e-06,4969.833056926727,4969.8330590724945,0.8,0.3684210526315789,0.6666666666666666,0.4
wasps,100.0,42,0.551672785715339,0.022237539291381836,0.9068136215209961,0.9290511608123779,0.8648648648648649,0.3783783783783784,0.41025641025641024,0.5531914893617021
wasps,100.0,43,0.5428046104167147,0.022388935089111328,0.8928911685943604,0.9152801036834717,0.8947368421052632,0.45161290322580644,0.47058823529411764,0.3333333333333333
wasps,100.0,44,0.553492079627426,0.022060394287109375,0.8919470310211182,0.9140074253082275,0.8780487804878049,0.3888888888888889,0.46511627906976744,0.47368421052631576
wasps,100.0,45,0.4423533245165124,0.02206254005432129,0.8945214748382568,0.9165840148925781,0.7555555555555555,0.25806451612903225,0.39215686274509803,0.36363636363636365
wasps_nodiv,100.0,42,0.46729390681003585,0.02209305763244629,0.511805534362793,0.5338985919952393,0.8333333333333334,0.25806451612903225,0.4444444444444444,0.3333333333333333
wasps_nodiv,100.0,43,0.45041366251416715,0.022145748138427734,0.5527169704437256,0.5748627185821533,0.7804878048780488,0.13793103448275862,0.4444444444444444,0.4375
wasps_nodiv,100.0,44,0.5478280610287843,0.022215843200683594,0.547426700592041,0.5696425437927246,0.9090909090909091,0.4,0.40816326530612246,0.4666666666666667
wasps_nodiv,100.0,45,0.4217000279955207,0.02293992042541504,0.5937871932983398,0.6167271137237549,0.8085106382978723,0.25,0.3157894736842105,0.3125
eucl_params,100.0,42,0.5268796992481203,0.02199411392211914,0.7822020053863525,0.8041961193084717,0.75,0.42857142857142855,0.5789473684210527,0.35
eucl_params,100.0,43,0.4248106372004712,0.022325515747070312,0.7864165306091309,0.8087420463562012,0.375,0.35294117647058826,0.4897959183673469,0.4878048780487805
eucl_params,100.0,44,0.4739743244456414,0.02319502830505371,0.7925741672515869,0.8157691955566406,0.6666666666666666,0.4,0.425531914893617,0.4
eucl_params,100.0,45,0.35863766980146294,0.02210092544555664,0.8519377708435059,0.8740386962890625,0.4583333333333333,0.41379310344827586,0.32,0.24242424242424243
eucl_params_nodiv,100.0,42,0.47818573105517154,0.022182703018188477,0.4907262325286865,0.512908935546875,0.6829268292682927,0.3902439024390244,0.5454545454545454,0.29411764705882354
eucl_params_nodiv,100.0,43,0.46405597647066554,0.022069215774536133,0.5193872451782227,0.5414564609527588,0.5365853658536586,0.3225806451612903,0.5116279069767442,0.4878048780487805
eucl_params_nodiv,100.0,44,0.5011121555130975,0.02238750457763672,0.4982171058654785,0.5206046104431152,0.6511627906976745,0.3783783783783784,0.5116279069767442,0.45714285714285713
eucl_params_nodiv,100.0,45,0.36040642672163203,0.02214956283569336,0.547499418258667,0.5696489810943604,0.4528301886792453,0.42857142857142855,0.27450980392156865,0.2857142857142857
eucl_raw,100.0,42,0.4985608521568331,2.1457672119140625e-06,0.8357388973236084,0.8357410430908203,0.9,0.21428571428571427,0.5573770491803278,0.3225806451612903
eucl_raw,100.0,43,0.5099787849837024,2.1457672119140625e-06,0.8348128795623779,0.8348150253295898,0.8780487804878049,0.375,0.4642857142857143,0.3225806451612903
eucl_raw,100.0,44,0.4317697839369665,2.1457672119140625e-06,0.8361141681671143,0.8361163139343262,0.8095238095238095,0.2962962962962963,0.38596491228070173,0.23529411764705882
eucl_raw,100.0,45,0.3033904109589041,3.0994415283203125e-06,0.8745191097259521,0.8745222091674805,0.75,0.08,0.3835616438356164,0.0
eucl_raw_nodiv,100.0,42,0.44700577200577196,2.1457672119140625e-06,0.5094070434570312,0.5094091892242432,0.8888888888888888,0.2,0.48484848484848486,0.21428571428571427
eucl_raw_nodiv,100.0,43,0.4105596011876103,2.1457672119140625e-06,0.4976792335510254,0.4976813793182373,0.6451612903225806,0.26666666666666666,0.417910447761194,0.3125
eucl_raw_nodiv,100.0,44,0.3457772386343815,2.6226043701171875e-06,0.48311281204223633,0.48311543464660645,0.6530612244897959,0.18181818181818182,0.31746031746031744,0.23076923076923078
eucl_raw_nodiv,100.0,45,0.30482736572890023,1.9073486328125e-06,0.50079345703125,0.5007953643798828,0.6666666666666666,0.08333333333333333,0.38235294117647056,0.08695652173913043
sta,100.0,42,0.5115808597340745,2.1457672119140625e-06,3198.851662158966,3198.8516643047333,0.9302325581395349,0.07407407407407407,0.5714285714285714,0.47058823529411764
sta,100.0,43,0.506043956043956,1.9073486328125e-06,3204.104240655899,3204.1042425632477,0.8,0.2857142857142857,0.5384615384615384,0.4
sta,100.0,44,0.44738120927020847,1.9073486328125e-06,3209.1997911930084,3209.199793100357,0.8085106382978723,0.29411764705882354,0.48,0.20689655172413793
sta,100.0,45,0.4186282467532467,1.9073486328125e-06,3207.0529487133026,3207.0529506206512,0.8,0.1875,0.4727272727272727,0.21428571428571427
