method,gamma,f1_mean,f1_std,n_ok,train_time_mean,test_time_mean,total_time_mean
eucl_params_nodiv,10.0,0.3061944025023703,0.05567953645430102,4.0,0.07564985752105713,1.0981404781341553,1.1737903356552124
eucl_raw,10.0,0.718807491775181,0.026786698455163654,4.0,2.86102294921875e-06,1.1625090837478638,1.162511944770813
eucl_raw_nodiv,10.0,0.5206410530471204,0.07069406653062661,4.0,2.3245811462402344e-06,0.6802995204925537,0.6803018450737
sta,10.0,0.5608507723895547,0.0424246249209814,4.0,2.205371856689453e-06,5200.081370472908,5200.08137267828
wasps,10.0,0.7125323256364635,0.031139256170631888,4.0,0.07573932409286499,1.8022447228431702,1.8779840469360352
wasps_nodiv,10.0,0.48238652906712476,0.04650853147521423,4.0,0.07534879446029663,1.262297809123993,1.3376466035842896
eucl_params,100.0,0.39716579165295574,0.026630442857417322,4.0,0.07589030265808105,1.4779332280158997,1.5538235306739807
eucl_params_nodiv,100.0,0.3015454991573501,0.05789863536866397,4.0,0.07661271095275879,1.0949094891548157,1.1715222001075745
eucl_raw,100.0,0.7303678421831529,0.027282807551274938,4.0,2.086162567138672e-06,1.2189111113548279,1.218913197517395
eucl_raw_nodiv,100.0,0.48426421345827847,0.08424308885204775,4.0,3.6954879760742188e-06,0.6744452714920044,0.6744489669799805
sta,100.0,0.5581023958659747,0.044093172358185856,4.0,2.3245811462402344e-06,5207.957114875317,5207.957117199898
wasps,100.0,0.7097510501789543,0.03171206518572173,4.0,0.07557106018066406,1.8131074905395508,1.8886785507202148
wasps_nodiv,100.0,0.4826250560453361,0.05157734610917252,4.0,0.0766180157661438,1.2452927827835083,1.321910798549652
eucl_params,10000.0,0.40785267800497804,0.02661669852673156,4,0.07609963417053223,1.4527422785758972,1.5288419127464294
eucl_params_nodiv,10000.0,0.29423314173989623,0.05715871760665439,4,0.07554835081100464,1.0959265232086182,1.1714748740196228
eucl_raw,10000.0,0.7296865053131883,0.032693944616798476,4,2.5033950805664062e-06,1.1853336691856384,1.185336172580719
eucl_raw_nodiv,10000.0,0.469805865825331,0.08519206855356076,4,2.205371856689453e-06,0.6732668280601501,0.6732690334320068
sta,10000.0,0.5443871344857855,0.04005863292731331,4,2.5033950805664062e-06,5203.17459076643,5203.174593269825
wasps,10000.0,0.6605286741841445,0.02159331628367651,4,0.07538002729415894,1.8194063901901245,1.8947864174842834
wasps_nodiv,10000.0,0.45948892900703003,0.017470502207164125,4,0.07667535543441772,1.248268187046051,1.3249435424804688
