method,gamma,seed,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
eucl_raw_nodiv,100.0,44.0,0.5961791191264876,3.814697265625e-06,0.6517195701599121,0.6517233848571777,0.6363636363636364,0.38461538461538464,0.5454545454545454,0.5454545454545454,0.0,0.6666666666666666,0.6947368421052632
eucl_raw_nodiv,100.0,45.0,0.38694962980944286,3.337860107421875e-06,0.6667420864105225,0.6667454242706299,0.7102803738317757,0.0,0.4666666666666667,0.0,0.0,0.6666666666666666,0.4318181818181818
sta,100.0,42.0,0.5266138708084446,2.1457672119140625e-06,5090.9194922447205,5090.919494390488,0.7209302325581395,0.25,0.3448275862068966,0.4528301886792453,0.05555555555555555,0.0,0.5892857142857143
sta,100.0,43.0,0.5818518553177828,2.86102294921875e-06,5090.689106464386,5090.689109325409,0.6792452830188679,0.5555555555555556,0.5806451612903226,0.13043478260869565,0.0,0.6666666666666666,0.8360655737704918
sta,100.0,44.0,0.6176105878531569,2.1457672119140625e-06,5325.087811231613,5325.08781337738,0.651685393258427,0.5,0.5161290322580645,0.5,0.0,0.6666666666666666,0.7669172932330827
sta,100.0,45.0,0.5063332694845143,2.1457672119140625e-06,5325.132049560547,5325.132051706314,0.74,0.35294117647058826,0.35714285714285715,0.18181818181818182,0.0,0.6666666666666666,0.6355140186915887
wasps,0.001,42.0,0.6648676687297377,0.0752098560333252,1.7786023616790771,1.8538122177124023,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.5230769230769231,0.0,0.0,0.8620689655172413
wasps,0.001,43.0,0.7117852375099261,0.07894587516784668,1.7887613773345947,1.8677072525024414,0.6732673267326733,0.7096774193548387,0.7222222222222222,0.48484848484848486,0.0,0.4,0.9444444444444444
wasps,0.001,44.0,0.7044331338154726,0.07577824592590332,1.7993872165679932,1.8751654624938965,0.7446808510638298,0.45454545454545453,0.47368421052631576,0.675,0.0,0.0,0.9107142857142857
wasps,0.001,45.0,0.6615671988893479,0.07573604583740234,1.8248279094696045,1.9005639553070068,0.6597938144329897,0.6086956521739131,0.4375,0.6153846153846154,0.0,0.5,0.8392857142857143
wasps_nodiv,0.001,42.0,0.679868350229262,0.07637476921081543,1.200434684753418,1.2768094539642334,0.6601941747572816,0.7407407407407407,0.6111111111111112,0.53125,0.0,0.0,0.8695652173913043
wasps_nodiv,0.001,43.0,0.6890889827056402,0.07601237297058105,1.203641653060913,1.2796540260314941,0.64,0.7096774193548387,0.7222222222222222,0.4375,0.0,0.2857142857142857,0.9357798165137615
wasps_nodiv,0.001,44.0,0.7164766111939902,0.07909893989562988,1.2128965854644775,1.2919955253601074,0.7659574468085106,0.5,0.5128205128205128,0.675,0.0,0.0,0.9026548672566371
wasps_nodiv,0.001,45.0,0.6557160603371783,0.07681679725646973,1.2065024375915527,1.2833192348480225,0.66,0.6086956521739131,0.4375,0.5866666666666667,0.0,0.5,0.8392857142857143
eucl_params,0.001,42.0,0.3477576804915515,0.07533001899719238,1.4851713180541992,1.5605013370513916,0.4731182795698925,0.2,0.12121212121212122,0.06666666666666667,0.0,0.0,0.59375
eucl_params,0.001,43.0,0.3312437038692327,0.07531189918518066,1.4397966861724854,1.515108585357666,0.3516483516483517,0.43478260869565216,0.12121212121212122,0.0821917808219178,0.0,0.0,0.576
eucl_params,0.001,44.0,0.3965382158824782,0.07590508460998535,1.4485111236572266,1.524416208267212,0.38095238095238093,0.16666666666666666,0.38095238095238093,0.32786885245901637,0.0,0.0,0.5606060606060606
eucl_params,0.001,45.0,0.4095615327130781,0.07970356941223145,1.4737844467163086,1.55348801612854,0.5471698113207547,0.10526315789473684,0.0,0.23333333333333334,0.0,0.5,0.6771653543307087
eucl_params_nodiv,0.001,42.0,0.3477576804915515,0.07552552223205566,1.130039930343628,1.2055654525756836,0.4731182795698925,0.2,0.12121212121212122,0.06666666666666667,0.0,0.0,0.59375
eucl_params_nodiv,0.001,43.0,0.3312437038692327,0.07610487937927246,1.1053366661071777,1.1814415454864502,0.3516483516483517,0.43478260869565216,0.12121212121212122,0.0821917808219178,0.0,0.0,0.576
eucl_params_nodiv,0.001,44.0,0.3965382158824782,0.07903552055358887,1.1526947021484375,1.2317302227020264,0.38095238095238093,0.16666666666666666,0.38095238095238093,0.32786885245901637,0.0,0.0,0.5606060606060606
eucl_params_nodiv,0.001,45.0,0.4095615327130781,0.07562589645385742,1.0756471157073975,1.1512730121612549,0.5471698113207547,0.10526315789473684,0.0,0.23333333333333334,0.0,0.5,0.6771653543307087
eucl_raw,0.001,42.0,0.6091059475383345,2.384185791015625e-06,1.1715736389160156,1.1715760231018066,0.6896551724137931,0.7058823529411765,0.68,0.5822784810126582,0.0,0.0,0.5428571428571428
eucl_raw,0.001,43.0,0.6259219647454941,2.1457672119140625e-06,1.1390955448150635,1.1390976905822754,0.6722689075630253,0.5909090909090909,0.7142857142857143,0.42857142857142855,0.0,0.6666666666666666,0.7160493827160493
eucl_raw,0.001,44.0,0.6735226873932757,2.6226043701171875e-06,1.1765308380126953,1.1765334606170654,0.76,0.37037037037037035,0.6470588235294118,0.6756756756756757,0.0,0.3333333333333333,0.725
eucl_raw,0.001,45.0,0.5897600308683325,2.384185791015625e-06,1.1855719089508057,1.1855742931365967,0.7377049180327869,0.5263157894736842,0.7,0.45614035087719296,0.0,1.0,0.5217391304347826
eucl_raw_nodiv,0.001,42.0,0.6091059475383345,2.6226043701171875e-06,0.6585216522216797,0.6585242748260498,0.6896551724137931,0.7058823529411765,0.68,0.5822784810126582,0.0,0.0,0.5428571428571428
eucl_raw_nodiv,0.001,43.0,0.6259219647454941,2.384185791015625e-06,0.7151534557342529,0.715155839920044,0.6722689075630253,0.5909090909090909,0.7142857142857143,0.42857142857142855,0.0,0.6666666666666666,0.7160493827160493
eucl_raw_nodiv,0.001,44.0,0.6735226873932757,2.1457672119140625e-06,0.6518871784210205,0.6518893241882324,0.76,0.37037037037037035,0.6470588235294118,0.6756756756756757,0.0,0.3333333333333333,0.725
eucl_raw_nodiv,0.001,45.0,0.5897600308683325,3.814697265625e-06,0.6686804294586182,0.6686842441558838,0.7377049180327869,0.5263157894736842,0.7,0.45614035087719296,0.0,1.0,0.5217391304347826
sta,0.001,42.0,0.732925347075554,3.0994415283203125e-06,5090.220777750015,5090.220780849457,0.7555555555555555,0.625,0.875,0.631578947368421,0.0,0.0,0.8089887640449438
sta,0.001,43.0,0.8180888400993617,2.1457672119140625e-06,5090.201215982437,5090.201218128204,0.74,0.875,0.9545454545454546,0.6268656716417911,0.0,0.6666666666666666,0.9900990099009901
sta,0.001,44.0,0.805346608668492,2.1457672119140625e-06,5311.580246210098,5311.5802483558655,0.7755102040816326,0.6923076923076923,0.8571428571428571,0.6666666666666666,0.0,0.3333333333333333,0.9900990099009901
sta,0.001,45.0,0.7327181188810605,2.384185791015625e-06,5311.624442100525,5311.624444484711,0.7747747747747747,0.5263157894736842,0.7368421052631579,0.684931506849315,0.0,1.0,0.8
