method,gamma,mode,seed,f1,train_time,test_time,total_time,rss_mb,f1_class_0,f1_class_1,f1_class_4,f1_class_5
eucl_params_nodiv,10000.0,barycenter,42,0.251290776280568,5.1267170906066895,0.43884730339050293,5.565564393997192,2231.5,0.4129032258064516,0.18518518518518517,0.22580645161290322,0.17777777777777778
eucl_params_nodiv,10000.0,barycenter,43,0.2891176982860844,5.197875022888184,0.43764710426330566,5.635522127151489,2231.5,0.44755244755244755,0.3492063492063492,0.3380281690140845,0.0
eucl_params_nodiv,10000.0,barycenter,44,0.3138164678259018,4.985796689987183,0.48958587646484375,5.475382566452026,2231.5,0.33962264150943394,0.275,0.2972972972972973,0.34285714285714286
eucl_params_nodiv,10000.0,barycenter,45,0.2900125557803048,4.987704038619995,0.4791879653930664,5.4668920040130615,2231.5,0.45454545454545453,0.21739130434782608,0.29333333333333333,0.19047619047619047
eucl_params_nodiv,10000.0,barycenter,46,0.1959149504565019,1.0252046585083008,0.27366042137145996,1.2988650798797607,2231.5,0.4,0.14925373134328357,0.22950819672131148,0.0
eucl_raw,100.0,barycenter,42,0.3376674937965261,6.547397136688232,0.4572415351867676,7.004638671875,2273.9,0.4,0.24615384615384617,0.4645161290322581,0.24
eucl_raw,100.0,barycenter,43,0.2641176470588235,6.626989364624023,0.46279120445251465,7.089780569076538,2273.9,0.5098039215686274,0.12,0.0,0.4266666666666667
eucl_raw,100.0,barycenter,44,0.32964113314229665,6.37259840965271,0.5050673484802246,6.877665758132935,2273.9,0.4827586206896552,0.09090909090909091,0.4539877300613497,0.2909090909090909
eucl_raw,100.0,barycenter,45,0.2569213907503489,6.605931758880615,0.43494534492492676,7.040877103805542,2273.9,0.32142857142857145,0.043478260869565216,0.43636363636363634,0.22641509433962265
eucl_raw,100.0,barycenter,46,0.3527767399866125,1.5492138862609863,0.1881701946258545,1.7373840808868408,2273.9,0.4,0.24489795918367346,0.4473684210526316,0.3188405797101449
eucl_raw_nodiv,100.0,barycenter,42,0.3376674937965261,5.516630411148071,0.45246291160583496,5.969093322753906,2242.7,0.4,0.24615384615384617,0.4645161290322581,0.24
eucl_raw_nodiv,100.0,barycenter,43,0.2641176470588235,5.62207555770874,0.43309497833251953,6.05517053604126,2242.7,0.5098039215686274,0.12,0.0,0.4266666666666667
eucl_raw_nodiv,100.0,barycenter,44,0.32964113314229665,5.534344911575317,0.4291224479675293,5.963467359542847,2242.7,0.4827586206896552,0.09090909090909091,0.4539877300613497,0.2909090909090909
eucl_raw_nodiv,100.0,barycenter,45,0.25617680478432525,5.429928302764893,0.47318315505981445,5.903111457824707,2242.7,0.3157894736842105,0.043478260869565216,0.43902439024390244,0.22641509433962265
eucl_raw_nodiv,100.0,barycenter,46,0.3613605534353102,1.002760648727417,0.19729208946228027,1.2000527381896973,2242.7,0.43137254901960786,0.24489795918367346,0.4503311258278146,0.3188405797101449
sta,0.0001,barycenter,42,0.2447987632323656,10824.523758411407,415.49987268447876,11240.023631095886,1573.4,0.09523809523809523,0.2988505747126437,0.5,0.0851063829787234
sta,0.0001,barycenter,43,0.298431952103951,10823.49064540863,417.2602777481079,11240.750923156738,1573.4,0.47540983606557374,0.21428571428571427,0.12903225806451613,0.375
sta,0.0001,barycenter,44,0.3067149027259574,10784.813673496246,418.66547298431396,11203.47914648056,1573.4,0.35294117647058826,0.1509433962264151,0.4768211920529801,0.24615384615384617
sta,0.0001,barycenter,45,0.2839613899817279,10769.153919696808,412.70575499534607,11181.859674692154,1573.4,0.13636363636363635,0.23880597014925373,0.4503311258278146,0.3103448275862069
sta,0.0001,barycenter,46,0.39057173875993917,5360.017171859741,224.9921214580536,5585.009293317795,1573.4,0.39215686274509803,0.36619718309859156,0.49624060150375937,0.3076923076923077
